"term","estimate","penalty"
"tfidf_text_mesh",4.66113724616293,0.0143844988828766
"tfidf_text_devic",3.19656377745738,0.0143844988828766
"tfidf_text_ethicon",2.55436718899976,0.0143844988828766
"tfidf_text_surgic",2.49318725164453,0.0143844988828766
"tfidf_text_cathet",2.18318431457229,0.0143844988828766
"tfidf_text_implant",1.877501476897,0.0143844988828766
"tfidf_text_acclar",1.49190982681705,0.0143844988828766
"tfidf_text_ablat",1.41161998304763,0.0143844988828766
"tfidf_text_carto",1.39285052478058,0.0143844988828766
"tfidf_text_webster",1.29439662130856,0.0143844988828766
"tfidf_text_technologi",1.24350573370229,0.0143844988828766
"tfidf_text_pelvic",1.18740808599738,0.0143844988828766
"tfidf_text_surgeon",1.17931668707124,0.0143844988828766
"tfidf_text_jnjmeddeviceuki",1.1741469654647,0.0143844988828766
"tfidf_text_studi",1.12754356410573,0.0143844988828766
"tfidf_text_surgeri",1.02723879012799,0.0143844988828766
"tfidf_text_medic",0.902243719553035,0.0143844988828766
"tfidf_text_atrial",0.857865873679983,0.0143844988828766
"tfidf_text_system",0.802515684724682,0.0143844988828766
"tfidf_text_medtron",0.71153986768221,0.0143844988828766
"tfidf_text_complic",0.665699170722441,0.0143844988828766
"tfidf_text_recal",0.423189954393678,0.0143844988828766
"tfidf_text_team",0.419583882489124,0.0143844988828766
"tfidf_text_learn",0.371028269953013,0.0143844988828766
"tfidf_text_regist",0.369981112283697,0.0143844988828766
"tfidf_text_class",0.368888418417144,0.0143844988828766
"tfidf_text_pain",0.362684754825594,0.0143844988828766
"tfidf_text_mycompani",0.355070920678495,0.0143844988828766
"tfidf_text_market",0.354672282877155,0.0143844988828766
"tfidf_text_product",0.314834759667858,0.0143844988828766
"tfidf_text_impact",0.292275966965987,0.0143844988828766
"tfidf_text_appl",0.286012166886463,0.0143844988828766
"tfidf_text_case",0.21437221990652,0.0143844988828766
"tfidf_text_johnson",0.206627131378305,0.0143844988828766
"tfidf_text_us",0.152942487376307,0.0143844988828766
"tfidf_text_treatment",0.136238424233012,0.0143844988828766
"tfidf_text_join",0.0896575756752231,0.0143844988828766
"tfidf_text_check",0.0867122325705426,0.0143844988828766
"tfidf_text_read",0.0635108184931644,0.0143844988828766
"tfidf_text_patient",0.0228270741838974,0.0143844988828766
"tfidf_text_biosens",0.0192029312995728,0.0143844988828766
"tfidf_text_dai",0.00244908078798173,0.0143844988828766
"tfidf_text_action",0,0.0143844988828766
"tfidf_text_alwai",0,0.0143844988828766
"tfidf_text_amaz",0,0.0143844988828766
"tfidf_text_announc",0,0.0143844988828766
"tfidf_text_bard",0,0.0143844988828766
"tfidf_text_busi",0,0.0143844988828766
"tfidf_text_care",0,0.0143844988828766
"tfidf_text_compani",0,0.0143844988828766
"tfidf_text_first",0,0.0143844988828766
"tfidf_text_global",0,0.0143844988828766
"tfidf_text_great",0,0.0143844988828766
"tfidf_text_healthcar",0,0.0143844988828766
"tfidf_text_help",0,0.0143844988828766
"tfidf_text_jnjnew",0,0.0143844988828766
"tfidf_text_johnsonandjohnson",0,0.0143844988828766
"tfidf_text_know",0,0.0143844988828766
"tfidf_text_live",0,0.0143844988828766
"tfidf_text_love",0,0.0143844988828766
"tfidf_text_make",0,0.0143844988828766
"tfidf_text_mani",0,0.0143844988828766
"tfidf_text_million",0,0.0143844988828766
"tfidf_text_need",0,0.0143844988828766
"tfidf_text_never",0,0.0143844988828766
"tfidf_text_nftart",0,0.0143844988828766
"tfidf_text_part",0,0.0143844988828766
"tfidf_text_pleas",0,0.0143844988828766
"tfidf_text_still",0,0.0143844988828766
"tfidf_text_support",0,0.0143844988828766
"tfidf_text_take",0,0.0143844988828766
"tfidf_text_thank",0,0.0143844988828766
"tfidf_text_think",0,0.0143844988828766
"tfidf_text_time",0,0.0143844988828766
"tfidf_text_todai",0,0.0143844988828766
"tfidf_text_trial",0,0.0143844988828766
"tfidf_text_want",0,0.0143844988828766
"tfidf_text_watch",0,0.0143844988828766
"tfidf_text_women",0,0.0143844988828766
"tfidf_text_work",0,0.0143844988828766
"tfidf_text_world",0,0.0143844988828766
"tfidf_text_worldwid",0,0.0143844988828766
"tfidf_text_health",-0.00431659647136091,0.0143844988828766
"tfidf_text_good",-0.00528713172252473,0.0143844988828766
"tfidf_text_next",-0.011715342355147,0.0143844988828766
"tfidf_text_futur",-0.0126776989346026,0.0143844988828766
"tfidf_text_just",-0.0328007025012274,0.0143844988828766
"tfidf_text_like",-0.0571020570266661,0.0143844988828766
"tfidf_text_year",-0.0816333842641747,0.0143844988828766
"tfidf_text_back",-0.131552044994292,0.0143844988828766
"tfidf_text_peopl",-0.301142189375917,0.0143844988828766
"tfidf_text_jack",-0.306022672927016,0.0143844988828766
"tfidf_text_uon",-0.7860970560437,0.0143844988828766
"(Intercept)",-1.3187856812315,0.0143844988828766
